description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Texas,31001.0,30514.0,31481.0,30157.0,31494.0,28825.0,34731.0,33893.0,30804.0,33957.0,34297.0,32702.0,33792.0,36722.0,38034.0,35689.0,35323.0,40066.0,38718.0,37447.0,38597.0,42199.0
Pennsylvania,18864.0,17633.0,19337.0,19439.0,18946.0,18511.0,18642.0,19964.0,19969.0,19615.0,20879.0,20769.0,20927.0,20386.0,20539.0,19718.0,18698.0,19420.0,21069.0,20765.0,22387.0,23293.0
Florida,16937.0,15378.0,17879.0,16522.0,16855.0,16565.0,16864.0,17210.0,16545.0,19419.0,17195.0,16674.0,16383.0,18977.0,17986.0,18025.0,17958.0,19769.0,18389.0,18698.0,18107.0,19566.0
Illinois,16039.0,14564.0,17232.0,16933.0,17400.0,16397.0,18125.0,17073.0,17512.0,17769.0,17879.0,17841.0,18272.0,19117.0,17956.0,17056.0,16791.0,17682.0,17609.0,15345.0,16077.0,17542.0
California,16619.0,14591.0,14215.0,15285.0,14708.0,16364.0,16424.0,17534.0,15066.0,15804.0,15483.0,15905.0,15458.0,15716.0,14247.0,14716.0,16944.0,13693.0,14124.0,13894.0,13501.0,14642.0
Ohio,13163.0,12807.0,13403.0,13356.0,13336.0,13262.0,13465.0,13874.0,13732.0,12972.0,12950.0,11627.0,11820.0,13825.0,12703.0,10953.0,10228.0,12128.0,11515.0,11425.0,10971.0,13310.0
North Carolina,10512.0,10220.0,11949.0,11984.0,11364.0,10539.0,11052.0,11634.0,11749.0,12440.0,11704.0,10193.0,10982.0,13422.0,11875.0,12475.0,10967.0,13546.0,11766.0,10917.0,11797.0,13047.0
Alabama,11327.0,11220.0,11999.0,11708.0,12094.0,10550.0,11404.0,12544.0,13385.0,13792.0,14177.0,13202.0,12878.0,14310.0,13559.0,12942.0,10937.0,13582.0,12466.0,11566.0,12437.0,13000.0
Washington,8318.0,9318.0,8057.0,9012.0,9531.0,9673.0,10087.0,9776.0,9870.0,7858.0,10612.0,8945.0,10438.0,9611.0,10674.0,9540.0,10701.0,10844.0,9442.0,10312.0,10852.0,11627.0
Georgia,11084.0,9890.0,10864.0,11008.0,10047.0,10348.0,11763.0,12365.0,11212.0,12153.0,11433.0,9375.0,10190.0,12110.0,10953.0,11447.0,10420.0,12351.0,10812.0,9704.0,10420.0,11457.0
